"","V1","V2","V3","V4","V5","V6"
"X2359_39",1,1,1,1.27340170635365,1.99755128195814,1.99893332149947
"X2364_62",1,1,1,1,1,1
"X2376_56",1,1.99980116306395,1,1,1,1
"X2378_48",1,1,1,1.06349206349206,1.90557131016817,1.96826865420301
"X2379_30",1,1,1,1.06299212598425,1.97788559391822,1.84730798808135
"X2409_45",1,1,1,1.9349518095218,1,1
"X2412_39",1,1,1,1,1.97021166772771,1.97307525868529
"X2440_23",1,1,1,1.17797972881848,1,1.483288166215
"X2450_7",1,1,1.99995588212129,1,1,1
"X2451_37",1,1,1,1.64965461598858,1,1
"X2456_53",1,1,1,1,1.90557131016817,1.98057476732876
"X2466_21",1,1.99998656764426,1.99906546642337,1.71981052763868,1,1.21052631578947
"X2472_37",1,1,1.98447352095149,1,1,1
"X2476_48",1,1,1,1.24071942823847,1.99955809373943,1.99261682937418
"X2481_7",1,1.30721430823816,1,1.12132352941176,1,1
"X2487_49",1,1.9842234919933,1,1,1,1
"X2488_12",1,1.80626432314924,1,1.12414457831325,1,1
"X2493_43",1,1,1,1,1.51580165435681,1.97950504765597
"X2495_61",1,1.99261147689746,1,1.61709836150995,1,1
"X2504_60",1,1,1,1.06299212598425,1.93261174650017,1.93465841374749
"X2509_67",1,1,1,1.63391454172323,1,1
"X2525_27",1,1.17215768425062,1,1.61084879917139,1,1
"X2568_22",1,1.99996634727843,1,1.79046645746943,1.99223759048783,1.99996313934049
"X2569_59",1,1,1,1,1.99643578206585,1.99999352173745
"X2591_45",1,1,1,1.9960331526361,1,1
"X2601_43",1,1,1,1,1,1
"X2604_57",1,1,1,1.51551297868175,1.30128339995792,1.19512195121951
"X2612_33",1,1,1,1.064,1.80444707245507,1.89623438206436
"X2635_42",2,1.99964465708703,1.99279245261814,1.99828669672476,1.94545253441048,1.84730798808135
"X2651_51",1,1.82135812290047,1,1,1,1
"X2672_19",1,1,1,1.07017543859649,1.97596110166895,1.99993284915007
"X2713_38",1,1,1,1,1.78139279810893,1.67246406641282
"X2738_53",1,1.17788657690738,1,1.74766936316746,1,1
"X2759_56",1,1,1,1,1,1
"X2763_54",1,1.9516256496346,1,1.90242267714367,1.69347854611013,1.77099943856648
"X2787_20",1,1.30721430823816,1,1.99993822963847,1,1
"X2851_49",1,1.9860795517577,1,1.99873233927425,1.7024631656985,1
"X2875_14",1,1.99343378315667,1,1,1,1
"X2893_34",1,1,1.99815724602367,1,1,1
"X2903_18",1,1,1,1.57385075170689,1.82113956208912,1.70438109342219
"X2912_17",1,1.97226111854417,1,1,1,1
"X2915_60",1,1,1,1.99233851151226,1,1
"X2936_26",1,1,1.99500242648759,1,1,1
"X2954_51",1,1.99871108390427,1,1.12914923291492,1.30128339995792,1.94057973151236
"X2956_11",1,1.6847975521189,1,1.77725744488111,1,1
"X2980_47",1,1,1,1.75387243234298,1,1
"X2987_28",1,1.16678545972915,1,1.40770497084606,1,1
"X2996_42",1,1,1,1.57684783611462,1,1
"X3002_43",1,1,1,1.12132352941176,1,1
"X3007_10",1,1.77530067912209,1,1.18916848009317,1.98479756345838,1.76066133052434
"X3037_64",1,1,1,1,1,1
"X3043_17",1,1,1.99999194876977,1,1,1
"X3077_7",1,1.91333597742346,1,1.12414457831325,1,1
"X3109_13",1,1.92823590359478,1,1,1,1
"X3140_34",1,1,1,1,1.99979450310015,1.95026237464361
"X3144_48",1,1,1,1,1,1
"X3145_42",1,1,1,1.6308446023935,1,1
"X3193_27",1,1.97671277416078,1,1,1,1
"X3197_34",1,1,1,1,1.99954536771835,1.99994026561741
"X3206_45",1,1.53250032133149,1,1.53036588041779,1,1
"X3218_32",1,1,1,1.60514094951487,1,1
"X3240_43",1,1,1,1.81944108002795,1,1
"X3268_13",1,1,1.99981589249606,1,1,1
"X3277_63",1,1.08695652173913,1,1.61084879917139,1.17021276595745,1.92329383522505
"X3280_14",1,1,1.99948116350352,1,1,1
"X3310_27",1,1,1,1.12414457831325,1.84350619214292,1.92736779382096
"X3311_8",1.98701298701299,1.99998479029086,1,1.99997353445433,1,1
"X3327_35",1,1,1,1.06201550387597,1.97935720833762,1.98820824212748
"X3345_33",1,1,1.9615818886108,1,1,1
"X3352_23",1,1,1,1,1.19047619047619,1.94552584536572
"X3371_8",1,1.91850461760845,1,1.74189506066923,1.9997463904233,1.99247715700281
"X3378_54",1,1.80626432314924,1,1.12914923291492,1,1
"X3383_38",1,1.16853864367676,1,1.41546504827249,1,1
"X3396_25",1,1.38628755988888,1,1.5184209682978,1,1
"X3402_53",1,1.09090909090909,1.15384615384615,1.33490255442899,1.88119000582504,1.21052631578947
"X3414_42",1,1.99903906398166,1,1,1,1
"X3421_37",1,1.54108099498707,1.99899130667334,1.33261250972016,1.96688030262869,1.99345101076019
"X3428_8",1,1,1,1,1.99565704552491,1.79515011672435
"X3430_54",1,1.24244631979439,1,1.99978186153112,1,1
"X3458_6",1,1.99575319346134,1,1.99978800856464,1,1
"X3489_17",1,1,1,1.06349206349206,1.59826502611313,1.75050143727026
"X3495_10",1,1.24741607659147,1,1.23717181473761,1.61539991843474,1.54687614176105
"X3498_14",1,1,1.96357464247868,1,1,1
"X3502_59",1,1.30721430823816,1,1.99971308532836,1,1
"X3516_7",1,1.89733865054276,1,1.51460087474284,1,1
"X3567_42",1,1.9999239678679,1,1.99892837106061,1,1
"X3588_25",1,1.99386995653252,1,1.27963514402754,1.95929311244766,1.99445036172323
"X3591_38",1,1,1.97378552437145,1.0650406504065,1,1
"X3632_53",1,1.99822601260384,1,1.23372659398204,1,1
"X3635_19",1,1,1.99989302318763,1.06349206349206,1,1
"X3646_50",2,1,1.99922520588571,1,1,1
"X3660_59",1,1,1.15686274509804,1,1,1
"X3672_29",1,1,1,1.0625,1.99662214650998,1.2
"X3694_16",1,1,1,1,1,1
"X3702_63",1,1.17402597402597,1.99195305960447,1,1,1
"X3708_29",1,1.99871108390427,1,1.93739161054231,1,1
"X3802_26",1,1,1.74296827684657,1.95797638582037,1,1
"X3804_20",1,1.99994451226673,1,1.96145180030431,1.99643578206585,1.99954536771835
"X3810_25",1,1.08695652173913,1,1.62780019150419,1,1
"X3814_22",1,1.99893203075691,1.99994482781167,1.971178770942,1,1
"X3828_50",1,1,1,1.07547169811321,1.99277282632013,1.99993556113755
"X3847_46",1,1.99711791119259,1,1.8294852283043,1,1
"X3855_65",1,1,1,1,1.95929311244766,1.99247715700281
"X3858_14",1,1.829603208232,1,1,1,1
"X3877_27",1,1,1,1.12224954094177,1.16326530612245,1.50286555549713
"X3886_33",1,1,1,1,1,1
"X3907_15",1,1,1,1,1.99896660061854,1.99998989354011
"X3913_34",1,1.81398439385712,1,1.48747378070563,1,1
"X3922_23",1,1.99909598312444,1,1.99949332373626,1,1.70438109342219
"X3931_53",1,1.78371381137079,1,1.20705643700645,1,1
"X3943_40",1,1.96259456933204,1.99999194876977,1.99350369229257,1.6243204767875,1.95831372218827
"X3948_15",1,1,1,1.06349206349206,1.80556829932908,1.98640877671283
"X3956_20",1,1,1,1.73600359286929,1,1
"X3986_29",1,1.98857097159148,1,1.22874132457751,1,1
"X3989_36",1,1.90370664158162,1.97866263611629,1.99995589033028,1,1
"X4001_28",1,1,1,1.064,1.9977242592581,1.9882954234865
"X4003_67",1,1,1.96357464247868,1,1,1
"X4008_58",1,1.73792134516837,1,1.48180953372048,1.89953483940039,1.97878685141895
"X4018_59",1,1.97644879999365,1,1.74189506066923,1,1
"X4029_23",1,1,1,1.12041142581365,1,1
"X4046_29",1,1.93923434642804,1.98364661959214,1.99696904250863,1.99996523119018,1.99984290778808
"X4061_41",1,1.95462951946415,1,1,1,1
"X4067_51",1,1.09195402298851,1,1.89619107856652,1,1
"X4083_57",1,1,1,1,1.90355424002268,1.96479072289615
"X4095_39",1,1.49308946505107,1,1.28557198177092,1.99962751283943,1.99772170651328
"X4101_65",1,1,1,1.94836283334845,1,1
"X4115_54",1,1.85761654527109,1,1,1,1
"X4120_41",1,1.99830688946127,1.28032345013477,1.92816096109209,1.99996789525638,1.99996313934049
"X4130_28",1,1.99997842718519,1,1,1,1
"X4135_24",1,1.99962722139799,1.99979688484308,1.99944884140965,1.19047619047619,1
"X4166_66",1,1.36879525861699,1,1.32592364882899,1.9989355063603,1.97950504765597
"X4178_40",2,1.99742840694563,1.30701754385965,1.99998051448849,1.99986788255303,1.99999505240157
"X4181_59",1,1.43269066648071,1,1.88420799087291,1,1
"X4193_14",1,1.64783580335522,1,1.57987335502524,1,1
"X4237_32",1,1.08791208791209,1,1.72151093167079,1.87502724294087,1.37029637029637
"X4252_24",1,1.99136800868003,1,1.99949932261505,1,1
"X4261_63",2,1.08988764044944,1.9859783037335,1,1,1
"X4262_6",1,1,1,1.82691902186464,1,1
"X4269_50",1,1.6474509590849,1,1.98505122588429,1.99996833293032,1.97307525868529
"X4276_26",1,1,1,1.12132352941176,1.91698548481905,1.67246406641282
"X4289_19",1,1,1,1.6968522999476,1.99565704552491,1.99928723983387
"X4295_5",1,1,1,1,1,1
"X4296_26",1.99998659750982,1.99981595028631,1.99986888548316,1.99997995910535,1.99994898967758,1.99999352173745
"X4299_33",1,1.99996656416057,1,1.99716261975783,1,1
"X4334_58",1,1,1,1,1,1
"X4335_21",2,1,1.99706305824186,1,1,1
"X4353_39",1,1,1.97378552437145,1,1,1
"X4356_50",1,1,1,1,1.773512904182,1.97950504765597
"X4370_65",1,1.31316322828639,1,1.58601101183016,1,1
"X4376_16",1,1,1.39739928831876,1,1,1
"X4393_37",1,1,1.99969523620102,1,1,1
"X4415_35",1,1,1.94178563148988,1.06451612903226,1,1
"X4428_31",1,1.99991520543694,1,1.99785048459553,1,1
"X4431_47",1,1,1,1.99906064077235,1.99999325800941,1.99979179438702
"X4441_28",1,1.91612211976026,1,1.77544088792573,1.70438109342219,1.60892090365775
"X4453_67",1,1.26077277458852,1,1.86245052362693,1,1
"X4456_63",1,1,1,1.12511427452005,1,1
"X4472_8",1,1,1,1.65183520462806,1,1
"X4481_12",1,1,1.8503397235794,1.17667322834646,1,1
"X4495_25",1,1,1,1,1.67585270508191,1.78151046549406
"X4501_39",1.98701298701299,1.99867282162512,1,1.62993758388936,1,1
"X4524_15",1,1.53675884096052,1,1.57182888294236,1,1
"X4557_20",1,1,1.96632541779806,1,1,1
"X4570_55",1,1,1.97593235611108,1,1,1
"X4573_26",1,1.16678545972915,1.28032345013477,1.36703235081832,1.60670128216606,1.92903047333359
"X4579_8",1,1.9974726295482,1,1.95728155093025,1.95596372878009,1.94057973151236
"X4586_41",1.99794941900205,1,1.70903695671482,1,1,1
"X4594_14",1,1,1,1.12041142581365,1,1.35411020776874
"X4608_25",1,1,1.87554566487129,1.12132352941176,1.99984213051553,1.99999532901623
"X4615_35",1,1,1,1.64645385239704,1,1
"X4626_30",1,1.08791208791209,1,1.0650406504065,1.99516563156189,1.99999506075195
"X4627_68",1,1,1.5002900290029,1.57684783611462,1.99999318148368,1.99703392213867
"X4653_38",1,1.96889882988292,1.99948116350352,1.23372659398204,1,1
"X4698_65",1,1,1,1.06299212598425,1.17021276595745,1.99345101076019
"X4701_17",1,1.88443149541404,1,1.98580099719627,1,1.97869629683162
"X4710_10",1,1.08888888888889,1,1.9511725385092,1,1
"X4730_14",1,1,1,1,1.99994592345669,1.95489157721512
"X4740_28",1,1,1,1.23037942737985,1,1
"X4744_49",1,1,1,1.06201550387597,1.99983431432332,1.99641554528479
"X4766_37",1,1,1,1.77818274519521,1,1
"X4778_22",1,1,1,1,1,1
"X4779_44",1,1,1.99608298291611,1,1,1
"X4783_26",1,1,1.7580412587418,1,1,1
"X4792_19",1,1,1,1,1,1
"X4801_63",1,1,1,1.06666666666667,1.99378438343958,1.9993375363442
"X4805_16",1,1.59383134033519,1,1.74373559444647,1.99662214650998,1.97596110166895
"X4809_8",1,1,1,1,1,1
"X4811_50",1,1,1,1.12511427452005,1.47403551488183,1.99663333116511
"X4820_24",1,1.99705435732083,1,1,1,1
"X4835_35",1,1,1,1.90180522967077,1,1
"X4839_21",1,1.60697621093489,1.99960147006665,1.95458053820992,1,1
"X4841_35",1,1,1,1.12041142581365,1.81377727677186,1.49289191820837
"X4842_60",1,1.99631025901653,1,1,1,1
"X4843_26",1,1.81011628212148,1,1.27581117883181,1,1
"X4890_15",1,1.80626432314924,1,1.99973169423008,1.99533909963071,1.99703392213867
"X4891_20",1,1.96302318273732,1,1.99617922571859,1,1
"X4896_44",1,1,1,1,1,1
"X4903_53",1,1,1.9997680063557,1,1,1
"X4937_15",1,1,1,1,1,1
"X4959_67",1,1,1,1,1,1
"X4982_30",1,1,1.15094339622642,1,1,1
"X4995_58",1,1,1,1,1.76795346150774,1.47912885662432
"X4997_59",1,1.99196107167848,1.91449636961988,1.9706683464889,1,1
"X4999_10",1,1.09411764705882,1.97273962393176,1,1,1
"X5010_50",1,1,1,1.36703235081832,1.82208279112559,1.92903047333359
"X5018_12",1,1,1.99213411992555,1,1,1
"X5059_18",1,1.99998402373139,1.39104291934481,1.33261250972016,1.99984213051553,1.99964433840662
"X5060_11",1,1,1,1,1.32559300873908,1.91455331028518
"X5061_56",1,1,1.99706305824186,1,1,1
"X5066_12",1,1.99048152808745,1,1.75690683025625,1.43245501477127,1.86430649962263
"X5067_52",1,1.98011596650291,1,1,1,1
"X5086_50",1,1.80626432314924,1,1.4621855501491,1,1
"X5103_32",1,1,1,1.59543902950388,1,1
"X5104_25",1,1.91592784616232,1,1.83008570089795,1,1
"X5110_23",1,1,1,1,1,1
"X5127_30",1,1.86100556122414,1,1,1,1
"X5157_56",1,1,1.98734127407387,1,1,1
"X5186_16",1,1.44033795008895,1,1,1,1
"X5223_37",1,1.99998569981268,1,1.99971935431671,1.90365115506861,1.97334677377667
"X5237_16",1,1,1.99992576082671,1.0655737704918,1.99999293507899,1.99998989354011
"X5244_29",1,1.99996101605688,1,1.98135556924081,1.46511627906977,1.99748240364814
"X5246_20",1,1.99991048760664,1,1.99971308532836,1,1
"X5248_22",1,1.08791208791209,1,1.49326564479383,1,1
"X5249_46",1,1,1,1.99998132359213,1.95300673234464,1.97950504765597
"X5255_40",1,1,1,1.73894117307241,1,1.2
"X5277_54",1,1.99778610148255,1,1.99518061365132,1.98708943652008,1.99877345553593
"X5279_48",1,1.87490500510173,1,1.06837606837607,1,1
"X5296_12",1,1,1.48563819400969,1.90897927681811,1,1.21621621621622
"X5316_62",1,1.18614394732904,1.99663333116511,1.19530542703826,1,1
"X5336_13",1,1.99964263986995,1,1.99974305105541,1.84256610395664,1
"X5345_15",1,1,1.97866263611629,1,1,1
"X5392_65",1,1,1,1.97553415653434,1,1
"X5394_7",1,1.16678545972915,1,1.76246070363183,1,1
"X5402_33",1,1.96259456933204,1,1,1,1
"X5415_26",1,1,1,1,1.99213411992555,1.98820824212748
"X5439_45",1,1,1,1,1.96743448995813,1.91455331028518
"X5442_24",1,1.57598866353321,1,1.65842235482963,1,1
"X5454_58",1,1.99946784128939,1,1.9999819180524,1.9999595134123,1.99845924220746
"X5472_42",1,1,1,1,1,1
"X5482_20",1,1.3257697015347,1,1.49918910625362,1,1
"X5526_40",1,1,1,1,1.85103185183213,1.92903047333359
"X5548_34",1,1,1,1.87447049934125,1,1
"X5554_11",1,1.65183520462806,1,1.42079937933816,1,1
"X5585_16",1,1.92789857672072,1.99722059840992,1.3352946888016,1,1
"X5593_34",1,1.8436727143209,1,1.0625,1,1
"X5597_45",1,1.24003508964307,1.99969376234555,1.32160968135628,1,1
